,game_id,starting_nfelo_home,starting_nfelo_away,hfa_mod,home_bye_mod,away_bye_mod,div_game_mod,dif_surface_mod,home_time_advantage_mod,home_538_qb_adj,away_538_qb_adj,home_net_qb_mod,home_net_bye_mod,nfelo_dif_base,nfelo_dif_open,nfelo_dif_close,nfelo_home_line_open,nfelo_home_line_close,nfelo_home_probability_close,nfelo_home_probability_open,nfelo_home_cover_prob_close,nfelo_home_push_prob_close,nfelo_home_loss_prob_close,nfelo_away_cover_prob_close,nfelo_away_push_prob_close,nfelo_away_loss_prob_close,home_open_ev,away_open_ev,home_close_ev,away_close_ev,home_clv_from_open,away_clv_from_open,home_line_open,home_line_open_price,away_line_open_price,home_line_close,home_line_close_price,away_line_close_price,total_line_open,under_price_open,over_price_open,total_line_close,under_price_close,over_price_close,home_implied_win_probability_open,home_implied_win_probability_close,hfa_base_mod
48,2009_04_DET_CHI,1536.7372,1285.8325,44.9,0.0,-0.0,-28.2,21.8,-11.2,26.5826,3.732,22.8506,0.0,318.6553,354.1222,272.4018,-13.0,-10.0,0.8275,0.8848,0.4656,0.0688,0.4656,0.4656,0.0688,0.4656,-0.0437,-0.0437,-0.0423,-0.0423,-0.2016,0.2012,-13.0,,,-10.0,-110.0,-110.0,,,,43.0,105.0,-115.0,0.8848,0.8275,62.5
49,2009_04_CIN_CLE,1350.4923,1469.499,56.1,0.0,-0.0,-28.2,21.8,0.0,5.5621,2.3843,3.1778,0.0,-59.7289,-80.1614,-169.9666,3.0,6.0,0.2732,0.3866,0.5263,0.0,0.4737,0.4737,0.0,0.5263,0.1042,-0.1914,0.0047,-0.0956,-0.1627,0.162,4.0,,,6.5,-110.0,-110.0,,,,37.5,101.0,-111.0,0.3481,0.2652,62.5
50,2009_04_OAK_HOU,1492.4731,1402.2192,84.875,0.0,-0.0,-0.0,0.0,22.375,19.6149,-23.384,42.9988,0.0,218.1276,245.2921,218.1557,-9.0,-8.0,0.7783,0.8041,0.4858,0.0,0.5142,0.5142,0.0,0.4858,-0.2059,0.115,-0.0726,-0.0183,-0.1889,0.1889,-10.5,,,-8.5,,,,,,42.5,-112.0,102.0,0.8384,0.7913,62.5
51,2009_04_SEA_IND,1625.6501,1426.4435,96.05,0.0,-0.0,-0.0,0.0,33.55,21.8717,24.8033,-2.9316,0.0,292.3251,286.0218,286.0218,-10.5,-10.5,0.8384,0.8384,0.5,0.0,0.5,0.5,0.0,0.5,-0.0455,-0.0455,-0.0455,-0.0455,0.0,0.0,-10.5,,,-10.5,,,,,,43.5,100.0,-110.0,0.8384,0.8384,62.5
52,2009_04_TEN_JAX,1474.4329,1578.6936,45.5,0.0,-0.0,-28.2,0.0,11.2,2.2653,-6.4725,8.7378,0.0,-50.0229,-27.2402,-81.7205,1.0,3.0,0.3845,0.4609,0.4425,0.115,0.4425,0.4425,0.115,0.4425,-0.0421,-0.0421,-0.0402,-0.0402,-0.1945,0.1901,1.0,,,3.0,105.0,-125.0,,,,42.0,-110.0,100.0,0.4609,0.3845,62.5
53,2009_04_NYG_KC,1339.6176,1629.3398,73.1,0.0,-0.0,-0.0,21.8,-11.2,38.0349,14.282,23.7529,0.0,-192.8692,-224.6902,-199.7008,8.0,7.5,0.2406,0.2153,0.5308,0.0305,0.4386,0.4386,0.0305,0.5308,0.1064,-0.1914,0.0439,-0.1321,0.0947,-0.0947,10.0,,,9.0,-110.0,-110.0,,,,43.0,-101.0,-109.0,0.1725,0.196,62.5
54,2009_04_BAL_NE,1603.4625,1659.2359,62.5,0.0,-0.0,-0.0,0.0,0.0,15.5586,13.3173,2.2413,0.0,8.968,38.0763,14.0577,-1.5,-0.5,0.5202,0.5546,0.4684,0.0269,0.5047,0.5047,0.0269,0.4684,-0.1826,0.1003,-0.0789,-0.0095,-0.1218,0.1201,-3.0,,,-2.0,-110.0,-110.0,,,,45.5,-110.0,100.0,0.6155,0.5778,62.5
55,2009_04_TB_WAS,1468.1684,1392.0615,62.5,0.0,-0.0,-0.0,0.0,0.0,11.3102,-48.2294,59.5396,0.0,198.1465,231.5415,245.1616,-8.5,-9.0,0.804,0.7913,0.4848,0.0303,0.4848,0.4848,0.0303,0.4848,-0.0455,-0.0455,-0.0441,-0.0441,0.0289,-0.0289,-8.5,,,-9.0,,,,,,36.5,101.0,-111.0,0.7913,0.804,62.5
56,2009_04_BUF_MIA,1491.5028,1446.304,56.1,0.0,-0.0,-28.2,21.8,0.0,-30.6068,1.7617,-32.3686,0.0,68.9303,41.3513,64.742,-1.5,-2.5,0.5921,0.5592,0.55,0.0422,0.4079,0.4079,0.0422,0.55,0.0696,-0.1603,0.0921,-0.1791,0.0747,-0.0747,0.0,,,-1.0,,,,,,37.5,103.0,-113.0,0.5,0.5391,62.5
57,2009_04_NYJ_NO,1642.0177,1511.3239,73.7,0.0,-0.0,-0.0,0.0,11.2,15.3429,0.4806,14.8622,0.0,219.256,190.6812,204.3013,-7.0,-7.5,0.7642,0.7498,0.5,0.0,0.5,0.5,0.0,0.5,-0.0413,-0.0413,-0.0455,-0.0455,0.0675,-0.0693,-7.0,,,-7.5,-110.0,-110.0,,,,47.0,-107.0,-103.0,0.7498,0.7642,62.5
