,spread_line,result,normalized_modeled_prob
104,-30.0,29.0,5.441679477162087e-07
105,-30.0,30.0,3.963288700338538e-07
106,-30.0,31.0,2.8712085371200665e-07
107,-30.0,32.0,2.0689976539890032e-07
108,-30.0,33.0,1.4830010608141917e-07
109,-30.0,34.0,1.0573264646250386e-07
110,-30.0,35.0,7.49830156264707e-08
111,-30.0,36.0,5.289356606630928e-08
112,-30.0,37.0,3.71132449816362e-08
113,-30.0,38.0,2.590246742484678e-08
114,-30.0,39.0,1.7982060972129104e-08
115,-30.0,40.0,1.241720678100486e-08
116,-30.0,41.0,8.52892854066883e-09
117,-30.0,42.0,5.827082282853257e-09
118,-30.0,43.0,3.959988610680783e-09
119,-30.0,44.0,2.676842587094043e-09
120,-30.0,45.0,1.7998563248794571e-09
121,-30.0,46.0,1.2037573524257232e-09
122,-30.0,47.0,8.008038922568368e-10
123,-30.0,48.0,5.29906816327876e-10
124,-30.0,49.0,3.487859198336647e-10
125,-30.0,50.0,2.283518271090429e-10
126,-30.0,51.0,1.4870862049563752e-10
127,-30.0,52.0,9.632830234903533e-11
128,-30.0,53.0,6.206657431919245e-11
129,-30.0,54.0,3.9778440479579565e-11
130,-30.0,55.0,2.5358516125982993e-11
131,-30.0,56.0,1.6079999418926807e-11
132,-30.0,57.0,1.014225038934473e-11
133,-30.0,58.0,6.363099802226191e-12
134,-30.0,59.0,3.9709027350539235e-12
135,-30.0,60.0,2.464880512800517e-12
136,-30.0,61.0,1.5219087037351599e-12
137,-30.0,62.0,9.346896586267126e-13
138,-30.0,63.0,5.70995101034862e-13
139,-30.0,64.0,3.4696321557782587e-13
140,-30.0,65.0,2.0971070177414853e-13
141,-30.0,66.0,1.2607932079176697e-13
142,-30.0,67.0,7.539685575241246e-14
143,-30.0,68.0,4.484858207430997e-14
144,-30.0,69.0,2.6535685207221198e-14
145,-30.0,70.0,1.561701413973845e-14
146,-30.0,71.0,9.14222294718887e-15
147,-30.0,72.0,5.323432112233284e-15
148,-30.0,73.0,3.083313891380324e-15
149,-30.0,74.0,1.7763554247463841e-15
150,-29.9,-75.0,2.8742843624841737e-05
151,-29.9,-74.0,3.6452669435347274e-05
152,-29.9,-73.0,4.598487919965442e-05
153,-29.9,-72.0,5.770146903852223e-05
154,-29.9,-71.0,7.201862041816233e-05
155,-29.9,-70.0,8.941056371054889e-05
156,-29.9,-69.0,0.00011041268616534836
157,-29.9,-68.0,0.00013562358681584204
158,-29.9,-67.0,0.00016570575186948037
159,-29.9,-66.0,0.00020138450360447936
