win_prob,spread_mult,implied_spread
0.362,-14.221,3.50
0.363,-14.331,3.50
0.364,-14.442,3.50
0.365,-14.554,3.50
0.366,-14.668,3.50
0.367,-14.784,3.50
0.368,-14.902,3.50
0.369,-15.021,3.50
0.37,-15.142,3.50
0.371,-15.265,3.50
0.372,-15.39,3.50
0.373,-15.517,3.50
0.374,-15.646,3.50
0.375,-15.777,3.50
0.376,-15.909,3.50
0.377,-16.044,3.50
0.378,-16.181,3.50
0.379,-16.321,3.50
0.38,-16.462,3.50
0.381,-16.606,3.50
0.382,-16.752,3.50
0.383,-16.901,3.50
0.384,-17.052,3.50
0.385,-14.748,3.00
0.386,-14.882,3.00
0.387,-15.019,3.00
0.388,-15.158,3.00
0.389,-15.299,3.00
0.39,-15.443,3.00
0.391,-15.589,3.00
0.392,-15.738,3.00
0.393,-15.89,3.00
0.394,-16.045,3.00
0.395,-16.202,3.00
0.396,-16.363,3.00
0.397,-16.526,3.00
0.398,-16.693,3.00
0.399,-16.863,3.00
0.4,-17.037,3.00
0.401,-17.213,3.00
0.402,-17.394,3.00
0.403,-17.578,3.00
0.404,-17.766,3.00
0.405,-17.957,3.00
0.406,-18.153,3.00
0.407,-18.353,3.00
0.408,-18.557,3.00
0.409,-18.766,3.00
0.41,-18.979,3.00
0.411,-19.197,3.00
0.412,-19.42,3.00
0.413,-19.648,3.00
0.414,-19.881,3.00
0.415,-20.12,3.00
0.416,-20.364,3.00
0.417,-20.614,3.00
0.418,-20.87,3.00
0.419,-21.132,3.00
0.42,-21.401,3.00
0.421,-18.064,2.50
0.422,-18.3,2.50
0.423,-18.541,2.50
0.424,-18.789,2.50
0.425,-19.043,2.50
0.426,-19.305,2.50
0.427,-19.573,2.50
0.428,-19.849,2.50
0.429,-20.132,2.50
0.43,-20.424,2.50
0.431,-20.724,2.50
0.432,-21.032,2.50
0.433,-21.35,2.50
0.434,-21.678,2.50
0.435,-22.015,2.50
0.436,-22.363,2.50
0.437,-22.722,2.50
0.438,-23.092,2.50
0.439,-23.475,2.50
0.44,-23.87,2.50
0.441,-24.278,2.50
0.442,-24.701,2.50
0.443,-25.138,2.50
0.444,-25.591,2.50
0.445,-26.06,2.50
0.446,-26.546,2.50
0.447,-21.641,2.00
0.448,-22.06,2.00
0.449,-22.496,2.00
0.45,-22.949,2.00
0.451,-23.42,2.00
0.452,-23.911,2.00
0.453,-24.423,2.00
0.454,-24.957,2.00
0.455,-25.515,2.00
0.456,-26.098,2.00
0.457,-26.708,2.00
0.458,-27.347,2.00
0.459,-21.013,1.50
0.46,-21.541,1.50
0.461,-22.095,1.50
0.462,-22.679,1.50
0.463,-23.294,1.50
0.464,-23.944,1.50
0.465,-24.63,1.50
0.466,-25.357,1.50
0.467,-26.128,1.50
0.468,-26.947,1.50
0.469,-27.818,1.50
0.47,-19.165,1.00
0.471,-19.828,1.00
0.472,-20.537,1.00
0.473,-21.299,1.00
0.474,-22.12,1.00
0.475,-23.007,1.00
0.476,-23.967,1.00
0.477,-25.01,1.00
0.478,-26.149,1.00
0.479,-27.396,1.00
0.48,-28.767,1.00
0.481,-30.283,1.00
0.482,-31.967,1.00
0.483,-33.848,1.00
0.484,-35.966,0.50
0.485,-38.365,0.50
0.486,-41.107,0.50
0.487,0,0.50
0.488,0,0.50
0.489,0,0.50
0.49,0,0.50
0.491,0,0.50
0.492,0,0.50
0.493,0,0.50
0.494,0,0.00
0.495,0,0.00
0.496,0,0.00
0.497,0,0.00
0.498,0,0.00
0.499,0,0.00
0.5,0,0.00
0.501,0,0.00
